X,Y,Population,Elevation,Slope,Landcover,Riverflow,Road_dist,Cluster,M,Unnamed_ 0,Weight,clusters,layer,path,id
185651.835699999995995,8456435.385999999940395,"0",463.579986599999984,,,,,,"0","313",7.070200313598951,"0",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp,"118"
187077.608500000002095,8444641.892000000923872,"0",444.765991199999974,,,,,,"0","336",7.024883279164786,"0",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp,"119"
187043.345499999995809,8445627.531999999657273,"2",449.309997599999974,,,,,,"0","337",7.060268542637459,"0",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp,"120"
187009.089899999991758,8446613.167999999597669,"0",461.510986300000013,,,,,,"0","338",7.136937013349416,"0",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp,"121"
186974.841600000014296,8447598.799000000581145,"0",487.188995400000010,,,,,,"0","339",9.031513240834908,"0",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp,"122"
186940.600799999985611,8448584.426000000908971,"0",481.756988499999977,,,,,,"0","340",7.014899097409789,"0",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp,"123"
186906.367200000007870,8449570.049000000581145,"2",429.802002000000016,,,,,,"0","341",7.025916637041949,"0",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp,"124"
186872.141000000003260,8450555.667000001296401,"0",440.290985100000000,,,,,,"0","342",7.058916038716621,"0",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp,"125"
186837.922099999996135,8451541.279999999329448,"0",474.799987800000054,,,,,,"0","343",3.653382974550681,"0",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp,"126"
186803.710599999991246,8452526.890000000596046,"0",489.368011500000023,,,,,,"0","344",4.869490965603231,"0",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp,"127"
186769.506400000012945,8453512.494999999180436,"0",469.031005900000025,,,,,,"0","345",7.034682249507640,"0",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp,"128"
186735.309700000012526,8454498.096000000834465,"0",468.869995099999983,,,,,,"0","346",7.056527415851513,"0",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp,"129"
186701.120300000009593,8455483.692999999970198,"0",480.792999300000020,,,,,,"0","347",7.063884013396293,"0",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp,"130"
188092.636900000012247,8444675.875000000000000,"0",450.221984899999995,,,,,,"0","373",7.017334260087619,"0",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp,"131"
