id,Population,Elevation,Slope,Landcover,Riverflow,NAME,Road_dist,Cluster,Weight,X,Y,PS,Unnamed_ 0,clusters,layer,path
"104","18",656.630981399999882,,,,,,,6.000000000000000,856162.642200000002049,8483042.948999999091029,"0","1944","4",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"105","7",667.960998500000187,,,,,,,6.000000000000000,856153.220300000044517,8484029.312999999150634,"0","1945","4",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"106","0",676.575012200000174,,,,,,,6.000000000000000,856143.789499999955297,8485015.672000000253320,"0","1946","4",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"107","0",698.632995600000186,,,,,,,6.000000000000000,856134.349999999976717,8486002.027999999001622,"0","1947","4",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"108","0",780.674987799999826,,,,,,,6.000000000000000,856124.901599999982864,8486988.379000000655651,"0","1948","4",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"109","0",901.375976599999944,,,,,,,6.000000000000000,856115.444400000036694,8487974.725999999791384,"0","1949","4",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"110","0",1033.109985000000052,,,,,,,3.076311772000000,856105.978400000021793,8488961.069000000134110,"0","1950","4",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"111","0",974.210998499999960,,,,,,,3.013871580000000,856096.503700000001118,8489947.407999999821186,"0","1951","4",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"112","0",974.289001500000040,,,,,,,5.202654772000000,856087.020099999965169,8490933.742999998852611,"0","1952","4",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"113","0",1022.140014999999948,,,,,,,6.000000000000000,856077.527699999976903,8491920.072999998927116,"0","1953","4",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"114","0",1032.189941000000090,,,,,,,6.000000000000000,856068.026599999982864,8492906.400000000372529,"0","1954","4",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"115","0",1025.900024000000030,,,,,,,6.000000000000000,856058.516700000036508,8493892.722999999299645,"0","1955","4",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"116","9",934.921997099999999,,,,,,,6.000000000000000,856048.997899999958463,8494879.042000001296401,"0","1956","4",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
